	x
458	NODE_706_length_4362_cov_266.415142_g331_i2
459	NODE_7102_length_2300_cov_145.971201_g3576_i1
460	NODE_11852_length_1863_cov_214.043407_g6618_i1
461	NODE_26964_length_1076_cov_105.004840_g16427_i0
462	NODE_47342_length_448_cov_2115.177778_g10619_i2
463	NODE_16502_length_1564_cov_142.228139_g2626_i6
464	NODE_17118_length_1531_cov_1388.475134_g10619_i0
465	NODE_33070_length_853_cov_1254.286420_g10539_i2
466	NODE_11050_length_1923_cov_154.650532_g1922_i2
467	NODE_12279_length_1831_cov_73.808725_g2427_i7
468	NODE_15198_length_1637_cov_88.432246_g9465_i0
469	NODE_28808_length_1004_cov_121.152966_g5937_i2
470	NODE_9292_length_2068_cov_191.368889_g5894_i0
471	NODE_12811_length_1792_cov_1134.575186_g8029_i0
472	NODE_41889_length_584_cov_671.197782_g27024_i0
473	NODE_2144_length_3363_cov_55.409639_g1385_i0
474	NODE_17353_length_1518_cov_2907.332881_g8415_i2
475	NODE_4647_length_2658_cov_85.141874_g2773_i1
476	NODE_56919_length_297_cov_134.917323_g41709_i0
477	NODE_17474_length_1512_cov_348.954391_g10158_i1
478	NODE_13957_length_1716_cov_39.486551_g2138_i2
479	NODE_3358_length_2950_cov_279.205366_g2166_i0
480	NODE_22217_length_1277_cov_36.064019_g13641_i0
481	NODE_49119_length_411_cov_1253.067935_g33917_i0
482	NODE_31889_length_892_cov_746.346290_g19512_i0
483	NODE_4135_length_2767_cov_93.664464_g2672_i0
484	NODE_1056_length_3970_cov_67.462185_g449_i1
485	NODE_6501_length_2376_cov_106.611230_g4167_i0
486	NODE_9922_length_2014_cov_110.081177_g846_i2
