	logFC	logCPM	PValue	FDR
NODE_31552_length_904_cov_563.789779_g19072_i1	-4.05587262549128	6.32800562751599	1.29942475308115e-24	2.41357668652943e-22
NODE_31027_length_923_cov_364.232955_g18958_i0	-3.894103438418	6.80508290291257	1.49575174826452e-24	2.74868252122567e-22
NODE_40811_length_615_cov_1755.243007_g26105_i0	-3.64900537027881	8.20743225317792	1.5667946821214e-24	2.84892750936474e-22
NODE_89861_length_152_cov_1.917431_g74651_i0	4.45001666510064	7.97030505596046	1.65654408972637e-24	2.98074402145139e-22
NODE_6776_length_2339_cov_303.216028_g1467_i1	-4.1186676276256	6.36485458266645	2.52143823718205e-24	4.4902395988745e-22
NODE_10604_length_1958_cov_121.319582_g961_i1	-4.38754835674974	5.82723083918777	2.8200842980474e-24	4.97083022086437e-22
NODE_26534_length_1093_cov_867.056190_g8416_i3	-3.89398957170651	6.62053895685247	3.29331731376647e-24	5.74633972505071e-22
NODE_27167_length_1068_cov_465.103415_g16557_i0	-3.74558558063456	7.18629271931399	4.96516668723616e-24	8.57682893553175e-22
NODE_98638_length_119_cov_2.723684_g83428_i0	3.39086402436541	14.7110820415567	8.43722399720367e-24	1.44301591413561e-21
NODE_17951_length_1485_cov_560.878641_g3340_i3	-3.63932248463374	7.59876924615345	1.00360810065757e-23	1.6996398363489e-21
NODE_72604_length_195_cov_2.953947_g57394_i0	3.68599685864645	6.65024005367401	1.80530948594299e-23	3.02766175341545e-21
NODE_10391_length_1974_cov_424.447954_g6554_i0	-3.60651747125802	7.32961477472035	1.89259268934671e-23	3.14352366497837e-21
NODE_45755_length_486_cov_626.191874_g30595_i0	-3.60680437951837	7.32066588632966	2.88069180541944e-23	4.73914954731575e-21
